"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","34:98:b5:69:4d:55","Broadcast","802.11","416","Beacon frame, SN=2800, FN=0, Flags=........, BI=100, SSID=Zer0Trust-5G"
"2","19.324351","90:48:6c:41:18:1a","34:98:b5:69:4d:53","802.11","110","QoS Data, SN=37, FN=0, Flags=.p.....T"
"3","19.470225","34:98:b5:69:4d:55","26:e8:2e:1f:2c:ad","802.11","500","Probe Response, SN=3045, FN=0, Flags=........, BI=100, SSID=Zer0Trust-5G"
"4","19.470958","34:98:b5:69:4d:55","26:e8:2e:1f:2c:ad","802.11","500","Probe Response, SN=3046, FN=0, Flags=........, BI=100, SSID=Zer0Trust-5G"
"5","19.560226","Ubiquiti_76:b3:d5","Spanning-tree-(for-bridges)_00","802.11","145","Data, SN=3048, FN=0, Flags=.p....F."
"6","19.608846","34:98:b5:69:4d:55","26:a2:48:df:fb:9a","802.11","500","Probe Response, SN=3049, FN=0, Flags=........, BI=100, SSID=Zer0Trust-5G"
"7","19.613798","34:98:b5:69:4d:55","26:a2:48:df:fb:9a","802.11","500","Probe Response, SN=3050, FN=0, Flags=........, BI=100, SSID=Zer0Trust-5G"
"8","19.629710","34:98:b5:69:4d:55","IntelCor_84:6b:e2","802.11","500","Probe Response, SN=3051, FN=0, Flags=........, BI=100, SSID=Zer0Trust-5G"
"9","20.052347","Cisco_66:0f:40 (00:a2:ee:66:0f:40) (TA)","3c:e9:f7:b4:b3:97 (3c:e9:f7:b4:b3:97) (RA)","802.11","19","VHT/HE NDP Announcement, Flags=........"
"10","20.223405","Cisco_45:5e:af (00:a2:ee:45:5e:af) (TA)","d4:d8:53:4f:b6:ea (d4:d8:53:4f:b6:ea) (RA)","802.11","19","VHT/HE NDP Announcement, Flags=........"
"11","21.693680","Cisco_4b:6c:0f (00:a2:ee:4b:6c:0f) (TA)","74:04:f1:5a:c0:53 (74:04:f1:5a:c0:53) (RA)","802.11","19","VHT/HE NDP Announcement, Flags=........"
"12","21.746110","Cisco_4b:6c:0f (00:a2:ee:4b:6c:0f) (TA)","38:fc:98:ff:99:c5 (38:fc:98:ff:99:c5) (RA)","802.11","19","VHT/HE NDP Announcement, Flags=........"
"13","22.356937","Cisco_66:0f:4e (00:a2:ee:66:0f:4e) (TA)","4c:d5:77:2c:09:35 (4c:d5:77:2c:09:35) (RA)","802.11","19","VHT/HE NDP Announcement, Flags=........"
"14","22.562965","Cisco_66:0f:4f (00:a2:ee:66:0f:4f) (TA)","04:cf:4b:b9:15:68 (04:cf:4b:b9:15:68) (RA)","802.11","19","VHT/HE NDP Announcement, Flags=........"
